exchange,rank,address,depositAmountQuid,depositTransferCount,firstDepositAt,lastDepositAt,targetHotWallets,inTop100
Upbit,81,0xf047829979ea207dfac88d9ebb3de4b5baacecdd,55561.055,2,2026-08-04T13:20:31Z,2026-08-04T13:30:51Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f;0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,82,0xe2ea1951283821cc2784e5a57d50e39cfe30dfa3,55555.555555555555555555,1,2026-08-04T13:35:43Z,2026-08-04T13:35:43Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,true
Upbit,83,0x0be3864c30a54610ca3bcd4b036707b22195df00,55555,2,2026-08-04T13:30:53Z,2026-08-04T13:35:49Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f;0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,84,0x110431d2e294a2a095ca1f86ddf1668ff4f15ece,55444,3,2026-08-04T13:30:53Z,2026-08-04T14:06:37Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f;0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,85,0x4142fe6dc8fd9a0d0d15d48a04947bb5e01b5cb4,52283.779504699010232822,2,2026-08-04T13:48:25Z,2026-08-04T13:50:57Z,0x99c39d665c353920ada681b306a927d14978a345;0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,86,0x4e85b55ea1536f0f3ab7a7473dd5a43ffc77587c,51566.520730033350551678,1,2026-08-04T14:06:41Z,2026-08-04T14:06:41Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,true
Upbit,87,0x5985804d6795ed9653a22a4f9c30e3d33e767c11,50000.393058719656006063,1,2026-08-04T13:48:29Z,2026-08-04T13:48:29Z,0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,88,0x2bcd5ba24b1cf57a846d287acab3f601aceafddf,50000,1,2026-08-04T13:48:03Z,2026-08-04T13:48:03Z,0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,89,0x6c9dc7a7f7d93e93d9229c2de3f4c55d6ff6ad82,50000,1,2026-08-04T13:31:01Z,2026-08-04T13:31:01Z,0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,90,0xd3cc470b31ba849f1b0df862ea4d0ac8921f9c3f,46294.553143374563469582,2,2026-08-04T13:51:07Z,2026-08-04T14:06:29Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f;0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,91,0xd3c683feebdc85809f4b6644d4194b0e6cfa8962,45374.998891210477251269,3,2026-08-04T13:25:47Z,2026-08-04T13:48:07Z,0x99c39d665c353920ada681b306a927d14978a345;0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,92,0xda78b36288ad896f0faa8617eb0adaa674497ac9,44444,1,2026-08-04T13:51:01Z,2026-08-04T13:51:01Z,0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,93,0xbbf0847d3eb880c08461ae9ced67731c4a041e51,44079.528914143776664083,1,2026-08-04T13:51:01Z,2026-08-04T13:51:01Z,0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,94,0x3a7d7da592fa55c9f5f666e228a9927575495b0e,43000,2,2026-08-04T13:48:23Z,2026-08-04T13:51:15Z,0x99c39d665c353920ada681b306a927d14978a345;0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,95,0x0752b0d325443e1fdeec4c4127d33a9e79660186,42160.386516460314261855,1,2026-08-04T13:48:09Z,2026-08-04T13:48:09Z,0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,96,0x798b811f06ca4036b5c43e29e17ee7c20ac7b2ab,41843.887395,4,2026-08-04T13:35:31Z,2026-08-04T13:51:21Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f;0x99c39d665c353920ada681b306a927d14978a345;0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,97,0x12437ab88b35d8b402a64b4aa60cd2039306135a,40000,1,2026-08-04T13:48:11Z,2026-08-04T13:48:11Z,0x99c39d665c353920ada681b306a927d14978a345,true
Upbit,98,0xe8fac943663b1ac02537040111c430b179c5d928,40000,2,2026-08-04T13:30:51Z,2026-08-04T13:40:43Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f;0xee9345326f336b86c8d0529b8a1b874041f81877,true
Upbit,99,0x412f1212b75ffa0ee2e01c14fa693dffec00de69,39309.824415,1,2026-08-04T14:06:41Z,2026-08-04T14:06:41Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,true
Upbit,100,0xbf2aae8f45355d78719f0b8df70430722b85888c,38888.888888888888888888,1,2026-08-04T13:20:31Z,2026-08-04T13:20:31Z,0x07003d24d866a705af126a23d4ea4ac4ed85e02f,true
